역사_ID,역사명,호선,위도,경도,station_x_5179,station_y_5179,matched_CELL_ID,matched_CELL_X,matched_CELL_Y,distance_m
1252,신촌,경의중앙선,37.559733,126.942597,950770.1799892323,1951299.2708866003,다사50755125,950875,1951375,129.3140876843899
1251,서울역,경의중앙선,37.557231,126.97103,953279.8386848401,1951007.173446187,다사53255100,953375,1951125,151.4555138857357
1220,지평,중앙선,37.476393,127.629874,1011483.188050209,1941915.2226959893,라사11254175,1011375,1941875,115.42321898415743
1219,용문,중앙선,37.48223,127.594647,1008367.8384431159,1942559.079771054,라사08254250,1008375,1942625,66.30810268209864
1218,원덕,중앙선,37.468672,127.547076,1004162.7890429975,1941051.7603126531,라사04004100,1004125,1941125,82.41397680814514
1217,양평,중앙선,37.492773,127.491837,999278.4022919426,1943724.5711419294,다사99254350,999375,1943625,138.7282577813784
1216,오빈,중앙선,37.506062,127.473868,997690.3773080665,1945199.1771547399,다사97504500,997625,1945125,98.87589542106836
1215,아신,중앙선,37.51382,127.443173,994977.9829314142,1946061.067521068,다사94754600,994875,1946125,121.21405044399108
1214,국수,중앙선,37.516169,127.399367,991106.9588397781,1946324.9119110664,다사91004625,991125,1946375,53.23814530178512
1213,신원,중앙선,37.525545,127.372921,988771.3030194908,1947367.9426752224,다사88754725,988875,1947375,103.93685390535717
1212,양수,중앙선,37.545981,127.329098,984903.2215728485,1949641.316194708,다사84754950,984875,1949625,32.59870217957287
1211,운길산,중앙선,37.554669,127.310115,983228.2869280321,1950608.412861973,다사83005050,983125,1950625,104.61033720538789
1210,팔당,중앙선,37.547371,127.243939,977381.0355828884,1949812.6089210128,다사77254975,977375,1949875,62.68233401832377
1209,도심,중앙선,37.579622,127.222672,975512.9850995768,1953395.9985026224,다사75505325,975625,1953375,113.96611351278469
1208,덕소,중앙선,37.586781,127.208832,974293.4245072603,1954193.9480938718,다사74255400,974375,1954125,106.81011499047415
1207,양정,중앙선,37.60533,127.19364,972958.8666676774,1956256.130399522,다사72755625,972875,1956375,145.4771455079311
1206,도농,중앙선,37.608806,127.161153,970092.7567922153,1956651.628135321,다사70005650,970125,1956625,41.81724571178844
1205,구리,중앙선,37.603392,127.143869,968564.9567396139,1956056.617134185,다사68505600,968625,1956125,91.00224972416447
1204,양원,중앙선,37.606596,127.107906,965392.0395965423,1956424.7336210655,다사65255625,965375,1956375,52.57167407083303
1203,망우,중앙선,37.59955,127.091909,963976.6697093965,1955649.0298201484,다사63755550,963875,1955625,104.47086706417977
